EVENT_ID,EVENT_TIMESTAMP,ASSOCIATE_ID,DEVICE_ID,EVENT_TYPE,APPLICATION_NAME,SEVERITY,RESPONSE_TIME_MS,ERROR_CODE,BUSINESS_UNIT,LOCATION,WORK_TYPE,ERROR_MESSAGE,USER_ACTION_CONTEXT
EVT-2024-089022,2024-01-12 15:45:33,A-78456,LAP-30567,APP_ERROR,Outlook,MEDIUM,0,ERR_SYNC,Card Services,Plano,HYBRID,"SyncFailure: Calendar synchronization failed. Conflict detected with recurring meeting series.","Associate's calendar showing duplicate meetings after recent Outlook update."
EVT-2024-089023,2024-01-13 09:12:45,A-34890,LAP-29678,TIMEOUT,SharePoint,HIGH,18000,TIMEOUT_001,Technology,McLean,ONSITE,"TimeoutException: Document upload to team site failed. File size 45MB exceeds recommended limit during peak hours.","Associate uploading quarterly presentation deck to department SharePoint."
EVT-2024-089024,2024-01-13 10:34:22,A-56234,LAP-31012,CRASH,Excel,MEDIUM,0,CRASH_002,Commercial Banking,Charlotte,REMOTE,"ApplicationCrashReport: Excel.exe memory exception. Workbook with 500K rows and 50 pivot tables exceeded memory allocation.","Associate working with large data extract from analytics platform."
EVT-2024-089025,2024-01-13 11:45:01,A-89345,LAP-28234,LOGIN_FAILURE,Workday,LOW,800,AUTH_003,Retail Banking,New York,ONSITE,"SessionExpired: User session timed out after 4 hours of inactivity. Re-authentication required.","Associate returning to Workday after lunch break."
EVT-2024-089026,2024-01-14 08:15:33,A-23012,LAP-30234,SLOW_RESPONSE,Workday,LOW,3500,PERF_003,Auto Finance,Plano,HYBRID,"MinorLatencyWarning: Morning login and dashboard load 3.5 seconds.","Associate's first login of the day to Workday."
EVT-2024-089027,2024-01-14 09:22:18,A-67345,LAP-29123,APP_ERROR,ServiceNow,LOW,0,ERR_FIELD,Technology,McLean,REMOTE,"ValidationError: Required field 'Business Justification' cannot exceed 4000 characters.","Associate submitting change request with detailed technical documentation."
EVT-2024-089028,2024-01-14 10:45:44,A-45234,LAP-31678,SLOW_RESPONSE,Salesforce,MEDIUM,5800,PERF_002,Card Services,Richmond,ONSITE,"PerformanceWarning: Account dashboard load time 5.8 seconds. Multiple related list queries executing sequentially.","Associate opening large enterprise customer account with 500+ related records."
EVT-2024-089029,2024-01-14 14:12:33,A-12567,LAP-28890,TIMEOUT,Zoom,HIGH,0,ZOOM_001,Commercial Banking,New York,REMOTE,"ConnectionError: Failed to join meeting. Firewall rule blocking connection after recent security policy update.","Associate attempting to join external client call. Had to use personal device as workaround."
EVT-2024-089030,2024-01-14 15:33:21,A-78567,LAP-30890,APP_ERROR,Power BI,MEDIUM,0,ERR_REFRESH,Retail Banking,Charlotte,HYBRID,"DataRefreshError: Scheduled report refresh failed. Source database connection timeout.","Automated Power BI report used for daily metrics not updating."
EVT-2024-089031,2024-01-10 09:45:12,A-34123,LAP-29345,SLOW_RESPONSE,Workday,LOW,2800,PERF_004,Technology,McLean,ONSITE,"NormalResponse: All systems operating within expected parameters.","Associate submitting small expense report with 2 receipts. No issues."
EVT-2024-089032,2024-01-10 10:23:45,A-56345,LAP-31890,LOGIN_FAILURE,Okta,HIGH,0,AUTH_001,Auto Finance,Plano,REMOTE,"AccountLockout: Account locked after 5 failed password attempts. Password expired during vacation.","Associate returning from two-week vacation, forgot updated password."
EVT-2024-089033,2024-01-10 11:12:33,A-89456,LAP-28012,APP_ERROR,Workday,LOW,0,WARN_001,Card Services,Richmond,HYBRID,"NonCriticalWarning: Expense category 'Client Entertainment' requires additional approval. Routing to compliance.","Associate submitted expense that triggered compliance review workflow."
EVT-2024-089034,2024-01-11 08:34:21,A-23123,LAP-30012,SLOW_RESPONSE,VPN,MEDIUM,5200,PERF_002,Commercial Banking,Work From Home,REMOTE,"PerformanceWarning: VPN connection establishment 5.2 seconds. Server load at 78% capacity.","Associate connecting to VPN during morning peak hours."
EVT-2024-089035,2024-01-11 09:56:44,A-67456,LAP-29012,CRASH,Outlook,HIGH,0,CRASH_003,Retail Banking,New York,ONSITE,"ApplicationCrashReport: Outlook.exe terminated during search indexing. Mailbox size 45GB exceeding recommended limits.","Associate's Outlook crashed while searching for email from 2 years ago."
EVT-2024-089036,2024-01-11 10:45:18,A-45345,LAP-31234,TIMEOUT,Workday,LOW,11000,TIMEOUT_002,Technology,McLean,REMOTE,"TimeoutWarning: Report export to Excel took 11 seconds. Large dataset warning displayed to user.","Associate exporting 18 months of expense data to Excel for analysis."
EVT-2024-089037,2024-01-11 14:23:33,A-12678,LAP-28345,APP_ERROR,Microsoft Teams,MEDIUM,0,ERR_AUDIO,Auto Finance,Plano,HYBRID,"AudioDeviceError: Selected microphone not detected. Falling back to default audio device.","Associate's Bluetooth headset disconnected during important client call."
EVT-2024-089038,2024-01-11 15:12:01,A-78678,LAP-30345,SLOW_RESPONSE,SharePoint,LOW,3100,PERF_003,Card Services,Richmond,ONSITE,"MinorLatencyWarning: Document library load time 3.1 seconds.","Associate browsing department document library."
EVT-2024-089039,2024-01-08 09:23:45,A-34234,LAP-29456,LOGIN_FAILURE,VPN,CRITICAL,0,VPN_002,Commercial Banking,Work From Home,REMOTE,"CertificateExpired: Client certificate expired. Associate unable to access any corporate resources.","Associate completely blocked from work. Certificate renewal process took 4 hours with IT support."
EVT-2024-089040,2024-01-08 10:45:12,A-56456,LAP-31567,SLOW_RESPONSE,Workday,LOW,2500,PERF_004,Technology,McLean,REMOTE,"NormalResponse: Time tracking submission completed successfully in 2.5 seconds.","Associate logging weekly time entries."
EVT-2024-089041,2024-01-08 11:34:33,A-89567,LAP-28456,APP_ERROR,Concur,HIGH,0,ERR_RECEIPT,Retail Banking,Charlotte,HYBRID,"OCRFailure: Unable to extract data from receipt image. Image quality too low for processing.","Associate photo of faded gas station receipt rejected by automated system."
EVT-2024-089042,2024-01-08 14:12:21,A-23234,LAP-30456,TIMEOUT,Salesforce,MEDIUM,16000,TIMEOUT_001,Auto Finance,Plano,ONSITE,"TimeoutException: Report generation exceeded 15 second threshold. Query optimizer recommended.","Associate running ad-hoc report across all accounts."
EVT-2024-089043,2024-01-09 08:45:33,A-67567,LAP-29567,SLOW_RESPONSE,Okta,LOW,1800,PERF_003,Card Services,Richmond,REMOTE,"MinorLatencyWarning: SSO authentication completed in 1.8 seconds.","Associate using single sign-on to access multiple applications."
EVT-2024-089044,2024-01-09 09:34:18,A-45456,LAP-31678,APP_ERROR,Power BI,LOW,0,WARN_002,Commercial Banking,New York,HYBRID,"PermissionWarning: User does not have access to underlying dataset. Showing cached data from 24 hours ago.","Associate viewing dashboard with stale data due to permission change."
EVT-2024-089045,2024-01-09 10:23:01,A-12789,LAP-28567,CRASH,Microsoft Teams,MEDIUM,0,CRASH_004,Technology,McLean,ONSITE,"ApplicationCrashReport: Teams.exe GPU rendering failure. Display driver timeout during video call.","Associate's laptop GPU overheated during extended video meeting."
EVT-2024-089046,2024-01-09 11:45:44,A-78789,LAP-30567,SLOW_RESPONSE,ServiceNow,MEDIUM,6200,PERF_002,Retail Banking,Charlotte,REMOTE,"PerformanceWarning: Incident search returned 2,847 results in 6.2 seconds.","IT analyst searching for related incidents during troubleshooting."
EVT-2024-089047,2024-01-09 14:56:22,A-34345,LAP-29678,LOGIN_FAILURE,Workday,LOW,0,AUTH_004,Auto Finance,Plano,HYBRID,"PasswordExpiry: Password will expire in 3 days. Reminder displayed to user.","Associate received proactive password expiration warning."
EVT-2024-089048,2024-01-09 15:23:11,A-56567,LAP-31789,APP_ERROR,Outlook,LOW,0,WARN_003,Card Services,Richmond,ONSITE,"AttachmentWarning: Email attachment 28MB may be blocked by recipient's email gateway.","Associate attempting to send large file via email instead of SharePoint."
EVT-2024-089049,2024-01-07 09:12:33,A-89678,LAP-28678,SLOW_RESPONSE,Workday,LOW,2100,PERF_004,Commercial Banking,New York,REMOTE,"NormalResponse: PTO request submitted successfully.","Associate requesting vacation days for February."
EVT-2024-089050,2024-01-07 10:34:45,A-23345,LAP-30678,TIMEOUT,SharePoint,MEDIUM,14000,TIMEOUT_001,Technology,McLean,HYBRID,"TimeoutException: Large file upload interrupted. Network instability detected.","Associate uploading 200MB video file to team site."
